东方夏湾拿 4室2厅 东,东方夏湾拿,太平镇,4室2厅 ,363.96, 东 , 其他 ,3,2005, 平房,1,11,8500000.0,23355,VR房源 房本满五年 
雅居乐小院流溪 4室2厅 南,雅居乐小院流溪,赤草,4室2厅 ,140.35, 南 , 其他 ,17,2013, 塔楼,2,12,1700000.0,12113,VR看装修 房本满五年 
雅居乐小院流溪 3室1厅 西南,雅居乐小院流溪,赤草,3室1厅 ,110.56, 西南 , 其他 ,16,2015, 塔楼,7,17,1350000.0,12211,VR看装修 房本满两年 随时看房 
人盛巴厘天地 3室2厅 东南,人盛巴厘天地,神岗镇,3室2厅 ,108.99, 东南 , 毛坯 ,17,2012, 塔楼,0,29,1200000.0,11011,VR看装修 房本满两年 随时看房 
环境优南北对流 空气好 地铁精装洋房带大阳台,逸泉山庄,赤草,3室2厅 ,139.0, 南 , 精装 ,11,2011, 塔楼,4, 一年前发布,2050000.0,14749,近地铁 VR看装修 房本满两年 随时看房 
星汇峰  中层 三房两厅 二孩家庭刚需户型,星汇峰,太平镇,3室2厅 ,100.08, 东北 , 毛坯 ,6,2010, 塔楼,1, 一年前发布,1200000.0,11991,VR看装修 房本满两年 随时看房 
流溪河畔，低密度别墅，居住舒适，环境优美,流溪河山庄,赤草,4室2厅 ,139.26, 西北 , 精装 ,3,2000, 塔楼,35, 4个月以前发布,1850000.0,13285,VR房源 房本满五年 随时看房 
业主真心出售，南北对流，稀有的大户型！！！！！！！,人盛巴厘天地,神岗镇,3室2厅 ,119.87, 南 , 毛坯 ,17,2012, 塔楼,0, 一年前发布,1300000.0,10846,VR看装修 房本满五年 随时看房 
高层复式洋房，毛坯房可按自己喜欢风格装修，。,大城云山,太平镇,5室2厅 ,143.8, 西南 , 毛坯 ,15,2016, 塔楼,7, 2个月以前发布,1950000.0,13561,近地铁 VR房源 房本满两年 随时看房 
珠江壹城别墅大花园210方，位置好,珠江壹城,神岗镇,4室1厅 ,378.22, 东南 , 毛坯 ,2, 板塔结合 , 独栋别墅 ,2, 2个月以前发布,5500000.0,14542,VR房源 房本满两年 随时看房 
地铁口14号线！联排别墅！花园130方左右,逸泉山庄,赤草,5室2厅 ,206.0, 东北 , 精装 ,3, 暂无数据 , 联排别墅 ,11, 1个月以前发布,3750000.0,18204,VR房源 房本满五年 随时看房 
户型方正，采光充足，交通过便利,逸泉山庄,赤草,3室2厅 ,138.72, 南 北 , 简装 ,11,2011, 塔楼,10, 一年前发布,1900000.0,13697,近地铁 VR看装修 房本满五年 随时看房 
山水御苑大三房 东南向南北对流 前后阳台视野优美,珠光山水御苑,江浦街,4室2厅 ,140.31, 南 , 毛坯 ,32,2016, 塔楼,3, 3个月以前发布,1350000.0,9622,VR房源 房本满两年 随时看房 
珠江壹城别墅精装修入住，三层双拼别墅房适合养老居住,珠江壹城,神岗镇,5室2厅 ,324.77, 东南 , 精装 ,2, 板塔结合 , 独栋别墅 ,3, 一年前发布,5260000.0,16197,VR房源 房本满五年 随时看房 
新区独栋别墅   东南向  单边位   大花园,方圆明月山溪,温泉镇,4室2厅 ,297.47, 东南 , 简装 ,3, 塔楼 , 独栋别墅 ,31, 3个月以前发布,3128000.0,10516,VR房源 房本满五年 随时看房 
逸泉山庄 地铁口物业 连排别墅 300万带80方花园,逸泉山庄,赤草,3室2厅 ,142.46, 南 , 毛坯 ,2,2008, 平房,34, 9个月以前发布,2800000.0,19655,VR房源 房本满五年 随时看房 
雅居乐物业，低层洋房，大三房。,雅居乐小院流溪,赤草,3室2厅 ,140.71, 东南 , 毛坯 ,17,2013, 塔楼,29, 5个月以前发布,1350000.0,9595,VR看装修 房本满两年 随时看房 
东方夏湾拿 玉带缠腰 依山傍水 流溪河旁生活区 空气好,东方夏湾拿,太平镇,5室2厅 ,173.73, 东南 , 其他 ,3, 暂无数据 , 独栋别墅 ,11,22,2600000.0,14966,VR房源 房本满五年 随时看房 
急售急售 ! 双层复式76平4房，精装，业主从未住过,紫泉翠荔嘉园,太平镇,2室2厅 ,76.41, 南 , 精装 ,6,2005, 板楼,80, 2个月以前发布,990000.0,12957,VR房源 房本满五年 随时看房 
地铁物业，毛坯南向靓楼层，证过二,大城云山,太平镇,2室2厅 ,81.07, 西南 , 毛坯 ,9,2016, 塔楼,68, 8个月以前发布,990000.0,12212,近地铁 VR看装修 房本满两年 随时看房 
珠光流溪御景，小户型，二房一厅，带装修,珠光流溪御景,赤草,2室1厅 ,60.0, 南 , 简装 ,6,2009, 塔楼,104, 一年前发布,650000.0,10834,VR房源 房本满五年 随时看房 
华标荔苑 大两房装修新净 距离地铁口300米,华标荔苑,太平镇,2室2厅 ,85.06, 南 北 , 简装 ,6,2013, 塔楼,70, 8个月以前发布,1150000.0,13520,近地铁 VR看装修 房本满两年 随时看房 
户型通透，景色优美。中高楼层，空气新鲜。,大城云山,太平镇,3室1厅 ,111.0, 南 , 毛坯 ,17,2016, 塔楼,14, 2个月以前发布,1388000.0,12505,近地铁 VR看装修 房本满五年 
大城云山 地铁700米  南向大3房大阳台可做茶室,大城云山,太平镇,3室2厅 ,121.24, 南 , 毛坯 ,22,2016, 塔楼,62, 9个月以前发布,1260000.0,10393,近地铁 VR看装修 随时看房 
楼层好，视野开阔，南北向户型采光充足,大城云山,太平镇,2室1厅 ,59.5, 南 北 , 毛坯 ,22,2016, 塔楼,27, 2个月以前发布,820000.0,13782,近地铁 VR看装修 随时看房 
全新房屋，装修保养漂亮，格局方正！,珠江壹城,神岗镇,3室2厅 ,101.97, 东北 , 精装 ,27,2017, 板塔结合,38, 2个月以前发布,1348000.0,13220,近地铁 VR看装修 随时看房 
流溪御景 一线河景房 正南向毛坯房 130方168万,珠光流溪御景,赤草,3室2厅 ,130.2, 南 北 , 其他 ,12,2015, 塔楼,0,4,1680000.0,12904,VR看装修 房本满两年 随时看房 
东方夏湾拿 5室1厅 西北,东方夏湾拿,太平镇,5室1厅 ,212.93, 西北 , 其他 ,3, 板塔结合 , 独栋别墅 ,1,18,3980000.0,18692,VR房源 房本满五年 随时看房 
联排边位别墅，户型方正，采光充足。格局通透,逸泉山庄,赤草,5室2厅 ,210.39, 东南 , 毛坯 ,3, 暂无数据 , 独栋别墅 ,2, 2个月以前发布,4400000.0,20914,VR房源 房本满五年 随时看房 
上城湾畔东区 3室1厅 北,上城湾畔东区,江浦街,3室1厅 ,115.36, 北 , 其他 ,15,2009, 塔楼,3,17,2150000.0,18638,近地铁 VR看装修 房本满五年 
联排边位别墅 花园大 户型方正 采光好 通风好,逸泉山庄,赤草,4室2厅 ,180.19, 东北 , 简装 ,3, 暂无数据 , 联排别墅 ,0,29,4200000.0,23309,VR房源 房本满五年 
星汇峰 2室1厅 东南,星汇峰,太平镇,2室1厅 ,47.83, 东南 , 其他 ,6,2010, 塔楼,2,5,720000.0,15054,VR看装修 房本满五年 
一线江景，大 气户型，环境优美。,星河绿洲,江浦街,3室2厅 ,148.93, 北 , 毛坯 ,13,2009, 塔楼,6, 一年前发布,2150000.0,14437,VR看装修 房本满五年 
紫泉翠荔嘉园 复式5房 近地.铁  随时可看,紫泉翠荔嘉园,太平镇,5室2厅 ,105.07, 南 东北 , 精装 ,6,2004, 板楼,49, 一年前发布,1250000.0,11897,VR房源 房本满五年 
雅居乐小院流溪 14号线地铁口  精装装修,雅居乐小院流溪,赤草,4室2厅 ,167.47, 南 北 , 精装 ,4,2014, 塔楼,9, 一年前发布,3200000.0,19108,VR看装修 房本满两年 
紫泉翠荔嘉园  电梯大四房  楼层好,紫泉翠荔嘉园,太平镇,4室2厅 ,138.05, 北 , 简装 ,18,2009, 塔楼,2, 一年前发布,1990000.0,14416,VR看装修 房本满五年 
紫泉翠荔嘉园  带花园  大三房,紫泉翠荔嘉园,太平镇,3室2厅 ,150.84, 南 北 , 精装 ,6,2004, 板楼,3, 一年前发布,2800000.0,18563,VR看装修 房本满五年 
巴厘天地 刚需三房户型 业主诚意出售,人盛巴厘天地,神岗镇,3室1厅 ,119.87, 南 北 , 精装 ,17,2013, 塔楼,11, 一年前发布,1500000.0,12514,VR看装修 房本满五年 
毛坯房，环境好，安静小区，大5房笋盘出售,雅居乐小院流溪,赤草,5室2厅 ,212.5, 东南 , 毛坯 ,2,2014, 塔楼,27, 一年前发布,3080000.0,14495,VR房源 房本满两年 
依山傍水，风景秀丽，实用户型。,珠光流溪御景,赤草,4室2厅 ,167.45, 南 , 毛坯 ,11,2013, 塔楼,4, 一年前发布,1950000.0,11646,VR看装修 房本满两年 
地铁14号线 怡景楼  正三房简装  随时看房,从化怡景楼,太平镇,3室2厅 ,111.96, 南 , 简装 ,8,2010, 塔楼,2, 一年前发布,1100000.0,9825,VR房源 房本满五年 随时看房 
大城云山 两房两厅 户型舒适实用,大城云山,太平镇,2室2厅 ,90.88, 西南 , 毛坯 ,17,2016, 塔楼,3, 一年前发布,1380000.0,15185,近地铁 VR看装修 房本满两年 随时看房 
地铁14号线电梯小区房业主急出售,人盛巴厘天地,神岗镇,3室1厅 ,117.0, 南 , 毛坯 ,17,2012, 塔楼,0, 一年前发布,1398000.0,11949,VR看装修 房本满两年 随时看房 
紫泉翠荔嘉园 适合三代同堂  标准格局 老小区配套成熟,紫泉翠荔嘉园,太平镇,4室2厅 ,137.99, 西南 , 毛坯 ,18,2009, 塔楼,2, 一年前发布,1700000.0,12320,VR看装修 房本满五年 随时看房 
珠光山水御苑 3室2厅 南,珠光山水御苑,江浦街,3室2厅 ,103.07, 南 , 简装 ,32,2014, 塔楼,1, 2个月以前发布,1250000.0,12128,VR看装修 房本满两年 随时看房 
名城御景绿洲大三房，南向望花园,名城御景绿洲,江浦街,3室1厅 ,140.35, 南 , 其他 ,27,2011, 塔楼,3, 3个月以前发布,1900000.0,13538,近地铁 VR房源 房本满两年 随时看房 
地铁口房，四房两厅，南北对流，业主自住装修,逸泉山庄,赤草,4室2厅 ,151.68, 北 , 精装 ,15,2013, 塔楼,39, 一年前发布,1850000.0,12197,近地铁 VR看装修 房本满五年 随时看房 
大城云山 西南向望小区绿化  过二,大城云山,太平镇,2室2厅 ,89.34, 西南 , 毛坯 ,17,2016, 塔楼,1, 一年前发布,1300000.0,14552,近地铁 VR看装修 房本满两年 随时看房 
中高楼层、采光良好、户型方正青春笋盘出售,御景宏雅花园,江浦街,3室2厅 ,100.0, 东南 , 毛坯 ,22,2014, 塔楼,12, 一年前发布,1350000.0,13500,VR房源 房本满两年 随时看房 
地铁物业 大城云山电梯精装两房 格局方正 南北对流,大城云山,太平镇,2室2厅 ,90.88, 南 , 精装 ,17,2016, 塔楼,57, 一年前发布,1180000.0,12985,近地铁 VR看装修 房本满五年 随时看房 
地铁口 出小区门口105国道，交通便利，视野宽阔,大城云山,太平镇,2室2厅 ,92.63, 东南 , 精装 ,17,2016, 塔楼,10, 6个月以前发布,1280000.0,13819,近地铁 VR看装修 房本满五年 随时看房 
地铁口，环境好，交通便利，宜居宜商,大城云山,太平镇,2室2厅 ,81.96, 南 , 毛坯 ,9,2016, 塔楼,3, 一年前发布,1200000.0,14642,近地铁 VR看装修 房本满五年 随时看房 
"业主诚心出售本房,欢迎各位客户随时看房。",人盛巴厘天地,神岗镇,3室2厅 ,112.41, 南 , 毛坯 ,17,2013, 塔楼,3, 一年前发布,1200000.0,10676,VR看装修 房本满五年 随时看房 
背靠流溪河，环山抱水，凤光旖旎，自然环境优美,人盛巴厘天地,神岗镇,2室2厅 ,84.57, 南 北 , 其他 ,17,2012, 塔楼,1,31,1180000.0,13953,VR看装修 房本满五年 随时看房 
雅居乐开发管理 流溪河边 近地铁口 高绿化,雅居乐小院流溪,赤草,3室2厅 ,130.0, 南 北 , 其他 ,17,2013, 塔楼,1,31,1480000.0,11385,VR看装修 房本满两年 随时看房 
富力泉天下宽阔大四房，视线开阔，楼层好环境好空气好,富力泉天下,温泉镇,4室2厅 ,148.03, 东南 , 其他 ,18,2014, 塔楼,1, 8个月以前发布,1950000.0,13174,VR看装修 房本满两年 随时看房 
富力泉天下 4室2厅 南,富力泉天下,温泉镇,4室2厅 ,146.0, 南 , 其他 ,18,2014, 塔楼,1, 6个月以前发布,1650000.0,11302,VR看装修 房本满两年 随时看房 
户型方正，小区环境优美，视野宽阔，空气清新,雅居乐小院流溪,赤草,3室2厅 ,140.36, 东南 , 毛坯 ,17,2013, 塔楼,0, 5个月以前发布,1600000.0,11400,VR看装修 房本满两年 随时看房 
此房满两年，税费低，配套完善，交通方便,紫泉翠荔嘉园,太平镇,4室1厅 ,124.62, 南 , 毛坯 ,6,2008, 板楼,10, 10个月以前发布,1390000.0,11154,VR看装修 房本满五年 随时看房 
方圆明月山溪 3室2厅 南,方圆明月山溪,温泉镇,3室2厅 ,159.99, 南 , 其他 ,16,2011, 塔楼,9, 9个月以前发布,1800000.0,11251,VR看装修 房本满五年 随时看房 
紫泉翠荔嘉园 适用于大家庭 复式房,紫泉翠荔嘉园,太平镇,7室1厅 ,151.0, 东南 , 其他 ,6,2006, 板楼,14, 9个月以前发布,1650000.0,10928,VR房源 房本满五年 随时看房 
南北对流，大户型格局方正彩光好电梯复式,大城云山,太平镇,3室2厅 ,152.18, 南 , 毛坯 ,17,2016, 塔楼,6, 6个月以前发布,2130000.0,13997,近地铁 VR房源 房本满两年 随时看房 
"通透格局，视野宽阔,采光充足.配套设施齐全 交通便利",方圆明月山溪,温泉镇,4室2厅 ,202.0, 南 北 , 其他 ,9,2011, 塔楼,11, 一年前发布,2000000.0,9901,VR看装修 房本满五年 随时看房 
巴厘天地，大三房，绿化较高，适合人群。,人盛巴厘天地,神岗镇,3室2厅 ,118.21, 东南 , 其他 ,17,2012, 塔楼,4, 2个月以前发布,1210000.0,10237,VR看装修 房本满五年 随时看房 
南北对流，高楼层，视野宽阔无遮挡，采光充足,紫泉翠荔嘉园,太平镇,4室1厅 ,117.4, 西南 , 其他 ,6,2004, 板楼,7, 9个月以前发布,1450000.0,12351,VR看装修 房本满两年 随时看房 
独栋大花园，户型方正，环境清静大五房.,逸泉山庄,赤草,5室2厅 ,343.55, 南 , 毛坯 ,2, 暂无数据 , 独栋别墅 ,11, 一年前发布,6190000.0,18018,VR房源 房本满五年 
花林湖畔精装3房，户型方正，带入户花园,利泰花林湖畔,鳌头镇,3室2厅 ,101.71, 南 北 , 精装 ,11,2012, 塔楼,5, 一年前发布,1050000.0,10324,VR看装修 房本满五年 
房子全新装修，配套成熟，厅出阳台，树林视野,人盛巴厘天地,神岗镇,3室2厅 ,108.99, 东南 , 简装 ,17,2012, 塔楼,3, 一年前发布,1410000.0,12937,VR看装修 房本满五年 
广州后花园，东方夏湾拿独栋别墅大花园,东方夏湾拿,太平镇,5室2厅 ,321.94, 东南 , 毛坯 ,2, 暂无数据 , 独栋别墅 ,10, 2个月以前发布,6000000.0,18638,VR房源 房本满五年 
地铁物业 中高楼层 楼距宽 采光好,雅居乐小院流溪,赤草,3室1厅 ,140.75, 南 , 毛坯 ,17,2013, 塔楼,2, 1个月以前发布,1680000.0,11937,VR看装修 房本满五年 随时看房 
业 主 置 换 物 业 、诚 心 放  盘 。,君源御湖城,江浦街,3室2厅 ,104.72, 东南 , 精装 ,16,2011, 塔楼,1, 8个月以前发布,1250000.0,11937,VR看装修 房本满五年 随时看房 
采光十足 环境优雅 空气清新。,君源御湖城,江浦街,2室2厅 ,80.62, 南 北 , 简装 ,16,2000, 塔楼,12, 一年前发布,950000.0,11784,VR看装修 房本满两年 随时看房 
人盛巴厘天地 毛坯三房 格局通透 配套齐全,人盛巴厘天地,神岗镇,3室2厅 ,123.52, 南 北 , 毛坯 ,17,2012, 塔楼,0, 一年前发布,1300000.0,10525,VR看装修 房本满两年 随时看房 
巴厘天地中高层望花园 通风对流 精装修,人盛巴厘天地,神岗镇,3室2厅 ,126.17, 南 北 , 精装 ,17,2019, 塔楼,4, 一年前发布,2000000.0,15852,VR看装修 房本满五年 随时看房 
小区交通便利，环境舒适，配套完善,人盛巴厘天地,神岗镇,3室2厅 ,103.0, 南 , 精装 ,10,2013, 塔楼,14, 6个月以前发布,1300000.0,12622,VR看装修 房本满五年 随时看房 
御湖城 东南向 望别墅群 视野开阔,君源御湖城,江浦街,3室2厅 ,104.19, 东南 , 毛坯 ,16,2011, 塔楼,0, 8个月以前发布,1200000.0,11518,VR看装修 房本满五年 随时看房 
业主诚心出售，房子格局好，无改动,人盛巴厘天地,神岗镇,3室2厅 ,112.41, 南 , 毛坯 ,17,2013, 塔楼,2, 一年前发布,1250000.0,11121,VR看装修 房本满五年 随时看房 
电梯洋房，南北对流，满五不唯一，地铁1200米,大城云山,太平镇,3室1厅 ,125.04, 东北 , 毛坯 ,17,2016, 塔楼,0, 2个月以前发布,1680000.0,13436,近地铁 VR看装修 房本满两年 随时看房 
大城云山  复式五房  户型方正  采光充足 视野广阔,大城云山,太平镇,5室2厅 ,191.55, 南 北 , 毛坯 ,17,2016, 塔楼,15, 一年前发布,3200000.0,16706,近地铁 VR房源 房本满五年 随时看房 
实用四房，长阳台，采光好，改善型居住环境,荔山雅筑,赤草,4室2厅 ,136.15, 南 , 毛坯 ,6,2011, 塔楼,9, 一年前发布,1600000.0,11752,近地铁 VR看装修 房本满五年 随时看房 
地铁口双拼别・墅 大花园 带车库  中空大客厅,逸泉山庄,赤草,5室2厅 ,279.85, 东 西 , 毛坯 ,3,2005, 暂无数据,5, 1个月以前发布,4000000.0,14294,VR房源 房本满五年 随时看房 
托斯卡纳电梯洋房，3房2厅2卫，诚心出售,托斯卡纳(从化区),新城片区,3室2厅 ,135.62, 东南 , 毛坯 ,9,2000, 板楼,15, 一年前发布,1750000.0,12904,VR房源 房本满两年 随时看房 
联排中间位别墅，6米层高挑空大客厅。,东方夏湾拿,太平镇,4室2厅 ,144.29, 东南 , 简装 ,3, 板塔结合 , 联排别墅 ,18, 1个月以前发布,2480000.0,17188,VR房源 房本满五年 随时看房 
地铁楼盘！三层别墅.前后花园！诚意出售！,逸泉山庄,赤草,4室2厅 ,248.18, 东南 , 毛坯 ,3,2010, 暂无数据,34, 一年前发布,3800000.0,15312,VR房源 房本满五年 随时看房 
全新房屋，装修保养漂亮，格局方正！,珠江壹城,神岗镇,5室2厅 ,354.27, 东南 , 精装 ,2, 板塔结合 , 独栋别墅 ,0, 1个月以前发布,4700000.0,13267,VR房源 房本满五年 随时看房 
流溪河山庄高层复式，带天台自用。,流溪河山庄,赤草,4室3厅 ,176.77, 南 , 毛坯 ,6,2008, 板楼,36, 一年前发布,1550000.0,8769,VR房源 房本满两年 随时看房 
星河绿洲 南向一线江景 环境优美 大入户花园,星河绿洲,江浦街,4室2厅 ,152.77, 南 北 , 毛坯 ,8,2009, 板楼,1, 6个月以前发布,1900000.0,12437,VR看装修 房本满五年 随时看房 
三房两厅，中高楼层格局通透，视野开阔，采光充足,逸泉山庄,赤草,3室2厅 ,111.34, 南 , 毛坯 ,15,2011, 塔楼,9, 一年前发布,1650000.0,14820,近地铁 VR看装修 房本满五年 随时看房 
双证房源，动静分离，户型方正，有三个阳台,逸泉山庄,赤草,4室2厅 ,156.0, 北 南 , 毛坯 ,15,2008, 塔楼,2, 1个月以前发布,1620000.0,10385,近地铁 VR看装修 房本满两年 随时看房 
利泰花林湖畔 3室2厅 南 北,利泰花林湖畔,鳌头镇,3室2厅 ,108.0, 南 北 , 其他 ,11,2012, 塔楼,0,6,880000.0,8149,VR看装修 房本满五年 
太平东路 3室2厅 东南,太平东路,太平镇,3室2厅 ,106.87, 东南 , 精装 ,6,2010, 塔楼,0,11,1180000.0,11042,VR看装修 房本满五年 
带 精装修拎包入住，厅出阳台，南北通透，一线江景,宏诚海岸花园,河滨北路,3室2厅 ,142.07, 南 北 , 精装 ,31,2008, 塔楼,4, 一年前发布,3500000.0,24636,VR房源 房本满五年 
东方夏湾拿单边别墅区，保养较新，花园大，居住养老好,东方夏湾拿,太平镇,5室3厅 ,266.94, 东 南 北 , 精装 ,3, 板塔结合 , 联排别墅 ,6, 4个月以前发布,4300000.0,16109,VR房源 房本满五年 
名城御景绿洲 南北对流 大三房,名城御景绿洲,江浦街,3室1厅 ,124.62, 东南 , 毛坯 ,23,2011, 塔楼,6, 一年前发布,1750000.0,14043,近地铁 VR看装修 房本满五年 
此房实用面积多，采光好，配套齐全，近市场..,玫瑰@,新城片区,3室2厅 ,132.72, 南 北 , 精装 ,9,2008, 板楼,2, 一年前发布,2100000.0,15823,VR看装修 房本满两年 
格局方正视野开阔 景观极好，优越生活乐章,方圆明月山溪,温泉镇,3室2厅 ,160.35, 南 , 精装 ,16,2011, 塔楼,3, 一年前发布,1880000.0,11725,VR看装修 房本满五年 
成熟配套 此房满五唯一红本在手 方形方正 采光好,紫泉翠荔嘉园,太平镇,3室2厅 ,105.0, 南 , 简装 ,6,2004, 板楼,8, 一年前发布,1470000.0,14000,VR房源 房本满五年 
满五唯一，税费低，交通便利，生活配套齐全，拎包入住,紫泉翠荔嘉园,太平镇,4室2厅 ,130.0, 南 , 简装 ,6,2004, 塔楼,3, 一年前发布,1900000.0,14616,VR看装修 房本满五年 
流溪河畔 一线江景 双大阳台  超高楼层  复式洋房,雅居乐滨江花园,江浦街,5室3厅 ,186.56, 南 , 精装 ,18,2010, 暂无数据,43, 4个月以前发布,4350000.0,23317,近地铁 VR房源 房本满两年 
广州后花园，东方夏湾拿带装修别墅,东方夏湾拿,太平镇,4室2厅 ,144.07, 东南 , 简装 ,3, 板塔结合 , 独栋别墅 ,15, 3个月以前发布,2650000.0,18394,VR房源 房本满两年 
独栋大花园，户型方正，环境清静大五房.,逸泉山庄,赤草,5室2厅 ,343.55, 南 , 毛坯 ,2, 暂无数据 , 独栋别墅 ,11, 一年前发布,6190000.0,18018,VR房源 房本满五年 
地铁口物业、精装单边位大花园别墅,逸泉山庄,赤草,5室2厅 ,223.0, 西南 , 简装 ,3, 暂无数据 , 独栋别墅 ,14, 5个月以前发布,4600000.0,20628,近地铁 VR房源 房本满五年 
花林湖畔 中楼层 北向 三房两厅 采光很好,利泰花林湖畔,鳌头镇,3室2厅 ,101.22, 北 , 毛坯 ,11,2012, 塔楼,0, 一年前发布,900000.0,8892,VR看装修 房本满五年 
逸泉山庄 地铁口物业 连排边位 大花园 精装修,逸泉山庄,赤草,6室2厅 ,280.51, 西南 , 精装 ,3, 暂无数据 , 独栋别墅 ,0, 6个月以前发布,5500000.0,19608,近地铁 VR房源 房本满两年 
花林湖畔精装3房，户型方正，带入户花园,利泰花林湖畔,鳌头镇,3室2厅 ,101.71, 南 北 , 精装 ,11,2012, 塔楼,5, 一年前发布,1050000.0,10324,VR看装修 房本满五年 
东方夏湾拿 6室4厅 东南,东方夏湾拿,太平镇,6室4厅 ,276.61, 东南 , 精装 ,3, 板塔结合 , 独栋别墅 ,2, 3个月以前发布,4500000.0,16269,VR房源 房本满两年 
从化怡景楼  实用两房  视野开阔 钥匙在手,从化怡景楼,太平镇,2室1厅 ,75.86, 东南 , 毛坯 ,8,2008, 塔楼,4, 2个月以前发布,770000.0,10151,VR看装修 房本满五年 随时看房 
房子一线江景，南北对流，格局实用方正，价格实惠。。,逸泉映翠,江浦街,3室2厅 ,97.09, 南 北 , 毛坯 ,24,2014, 塔楼,6, 9个月以前发布,1030000.0,10609,VR看装修 房本满两年 随时看房 
大城云山 地铁口物业 毛坯三房 朝南 满五年,大城云山,太平镇,3室2厅 ,111.73, 东南 , 毛坯 ,17,2016, 塔楼,10, 6个月以前发布,1450000.0,12978,近地铁 VR看装修 房本满五年 随时看房 
配套完善， 交通便利 ，户型方正实用， 楼距间宽,爱尚流溪,江浦街,4室2厅 ,127.49, 南 , 其他 ,24,2015, 塔楼,7, 8个月以前发布,1230000.0,9648,VR看装修 房本满两年 随时看房 
上城湾畔   中间楼层     阳光充足  业主诚意出售,上城湾畔B区,江浦街,3室2厅 ,119.98, 西北 , 简装 ,10,2009, 塔楼,22, 一年前发布,2050000.0,17087,近地铁 VR看装修 房本满五年 随时看房 
性从比较高的一套房子，拎包就可入住。,方圆明月山溪,温泉镇,2室2厅 ,84.48, 南 北 , 精装 ,18,2014, 塔楼,21, 一年前发布,1000000.0,11838,VR看装修 房本满两年 随时看房 
紫泉翠荔嘉园 3室1厅 西南,紫泉翠荔嘉园,太平镇,3室1厅 ,90.99, 西南 , 简装 ,18,2009, 塔楼,0, 6个月以前发布,1280000.0,14068,VR看装修 房本满两年 随时看房 
景观漂亮   南北对流       户型方正格局好用,方圆明月山溪,温泉镇,3室2厅 ,160.35, 南 , 精装 ,16,2011, 塔楼,0, 2个月以前发布,1600000.0,9979,VR看装修 房本满两年 随时看房 
此房南北对流，大阳台，空气清新，南向视野开阔,逸泉映翠,江浦街,3室2厅 ,111.53, 南 , 毛坯 ,24,2014, 塔楼,1, 2个月以前发布,1200000.0,10760,VR看装修 房本满两年 随时看房 
地铁口 华标荔苑 交通便利 商圈成熟,华标荔苑,太平镇,3室2厅 ,128.21, 东 , 毛坯 ,12,2015, 塔楼,0, 9个月以前发布,1750000.0,13650,近地铁 VR看装修 房本满两年 随时看房 
绿化好，小区新净，人文环境好。,珠光御景山水城,江浦街,3室2厅 ,100.68, 南 , 毛坯 ,24,2012, 塔楼,1, 1个月以前发布,1280000.0,12714,VR看装修 房本满两年 随时看房 
雅居乐小院流溪中高层一线江景洋房,雅居乐小院流溪,赤草,3室2厅 ,116.44, 北 , 毛坯 ,16,2015, 塔楼,24, 一年前发布,1400000.0,12024,VR看装修 房本满两年 随时看房 
"单价低,不临街,随时腾房148万",雅居乐小院流溪,赤草,3室2厅 ,130.01, 北 , 毛坯 ,17,2013, 塔楼,5, 7个月以前发布,1465000.0,11269,VR看装修 房本满五年 随时看房 
