东方夏湾拿 4室2厅 东,东方夏湾拿,太平镇,4室2厅 ,363.96, 东 , 其他 ,3,2005, 平房,1,11,8500000.0,23355,VR房源 房本满五年 
大城云山地铁口物业 毛坯自由装修 电梯洋房 精致花园,大城云山,太平镇,3室2厅 ,125.04, 东北 , 毛坯 ,17,2016, 塔楼,10, 一年前发布,1520000.0,12157,近地铁 VR看装修 房本满两年 随时看房 
大城云山 二房 户型实用  采光充足,大城云山,太平镇,2室1厅 ,94.7, 南 , 毛坯 ,10,2016, 塔楼,4, 一年前发布,1200000.0,12672,近地铁 VR看装修 房本满两年 随时看房 
满5唯一，视野开阔，配套设施齐全，交通便利,上城湾畔B区,江浦街,4室2厅 ,149.25, 南 , 毛坯 ,17,2009, 塔楼,3, 6个月以前发布,2800000.0,18761,VR看装修 房本满五年 随时看房 
大城云山 地铁700米 南向大3房复式,大城云山,太平镇,4室2厅 ,114.25, 东南 , 毛坯 ,11,2016, 塔楼,4, 7个月以前发布,1680000.0,14705,近地铁 VR看装修 房本满五年 随时看房 
中高楼层、采光良好、户型方正青春笋盘出售,御景宏雅花园,江浦街,3室2厅 ,100.0, 东南 , 毛坯 ,22,2014, 塔楼,12, 一年前发布,1350000.0,13500,VR房源 房本满两年 随时看房 
地铁口 出小区门口105国道，交通便利，视野宽阔,大城云山,太平镇,2室2厅 ,92.63, 东南 , 精装 ,17,2016, 塔楼,10, 6个月以前发布,1280000.0,13819,近地铁 VR看装修 房本满五年 随时看房 
地铁口，环境好，交通便利，宜居宜商,大城云山,太平镇,2室2厅 ,81.96, 南 , 毛坯 ,9,2016, 塔楼,3, 一年前发布,1200000.0,14642,近地铁 VR看装修 房本满五年 随时看房 
巴厘天地三房，户型方正，采光好，居住舒适,人盛巴厘天地,神岗镇,3室2厅 ,104.93, 东南 , 毛坯 ,17,2011, 塔楼,1, 7个月以前发布,1150000.0,10960,VR看装修 房本满五年 随时看房 
巴厘天地三房，户型方正，采光好，居住舒适,人盛巴厘天地,神岗镇,3室2厅 ,103.54, 南 , 毛坯 ,17,2012, 塔楼,0, 7个月以前发布,1500000.0,14488,VR看装修 房本满五年 随时看房 
地铁物业 大城云山电梯精装两房 格局方正 南北对流,大城云山,太平镇,2室2厅 ,90.88, 南 , 精装 ,17,2016, 塔楼,57, 一年前发布,1180000.0,12985,近地铁 VR看装修 房本满五年 随时看房 
"业主诚心出售本房,欢迎各位客户随时看房。",人盛巴厘天地,神岗镇,3室2厅 ,112.41, 南 , 毛坯 ,17,2013, 塔楼,3, 一年前发布,1200000.0,10676,VR看装修 房本满五年 随时看房 
此房产证过2年，毛坯三房 近地铁生活便利,上城湾畔B区,江浦街,3室2厅 ,116.35, 北 , 毛坯 ,10,2009, 塔楼,4, 8个月以前发布,2200000.0,18909,近地铁 VR看装修 房本满两年 随时看房 
巴厘天地 毛坯大三房 楼层靓 双阳台望河望花园,人盛巴厘天地,神岗镇,3室2厅 ,128.5, 南 北 , 毛坯 ,17,2013, 塔楼,7, 2个月以前发布,1410000.0,10973,VR看装修 房本满两年 随时看房 
大城云山成熟大盘！距离地铁太平站约800米！！！,大城云山,太平镇,3室2厅 ,113.59, 南 北 , 毛坯 ,11,2016, 塔楼,2, 4个月以前发布,1650000.0,14526,近地铁 VR看装修 房本满五年 随时看房 
急卖 急卖    从化太平捡漏房  大城云山 地铁口800米,大城云山,太平镇,2室1厅 ,80.62, 南 , 毛坯 ,11,2016, 塔楼,3, 2个月以前发布,1120000.0,13893,近地铁 VR看装修 房本满两年 随时看房 
大城云山 业主需改善居住环境，诚意出售,大城云山,太平镇,1室1厅 ,56.79, 东 西 , 毛坯 ,10,2016, 塔楼,43, 一年前发布,880000.0,15496,近地铁 VR看装修 房本满两年 随时看房 
诚心出售 环境优雅 配套齐全 交通便利 紫薇苑笋盘出售,汉中紫薇苑,江浦街,3室2厅 ,101.0, 西北 , 毛坯 ,18,2015, 暂无数据,12, 一年前发布,1590000.0,15743,近地铁 VR看装修 房本满两年 随时看房 
东南向户型，实用三房，看花园方向,云星钱隆天誉,太平镇,3室1厅 ,92.96, 东北 , 毛坯 ,25,2016, 塔楼,8, 7个月以前发布,1200000.0,12909,VR看装修 房本满两年 随时看房 
北三环高速口，通风采光充足，景观视线开阔.,太平中学教师楼,太平镇,3室2厅 ,105.69, 东 , 简装 ,8,1999, 塔楼,33, 9个月以前发布,750000.0,7097,VR房源 房本满两年 随时看房 
大城云山 房子过二 地铁物业  800米太平地铁站,大城云山,太平镇,3室2厅 ,102.68, 东北 , 毛坯 ,15,2016, 塔楼,33, 4个月以前发布,1230000.0,11979,近地铁 VR看装修 房本满两年 随时看房 
东成路五楼靓楼层，二房一厅，户型方正实用,东成路,河滨北路,2室1厅 ,77.0, 东南 , 简装 ,7,1992, 塔楼,39, 一年前发布,650000.0,8442,VR看装修 房本满五年 随时看房 
人盛巴厘天地.里面环境好.交通方便.,人盛巴厘天地,神岗镇,3室2厅 ,127.23, 南 北 , 毛坯 ,17,2013, 塔楼,25, 一年前发布,1180000.0,9275,VR看装修 房本满两年 随时看房 
急售 急售 急售 过五唯一，每个房间都是全景花园,人盛巴厘天地,神岗镇,3室2厅 ,103.54, 南 , 毛坯 ,17,2012, 塔楼,10, 2个月以前发布,1110000.0,10721,VR看装修 房本满五年 随时看房 
巴厘天地配套齐全，生活方便，环境优美。,人盛巴厘天地,神岗镇,3室2厅 ,101.56, 东南 , 精装 ,17,2012, 塔楼,2, 一年前发布,1250000.0,12308,VR看装修 房本满两年 随时看房 
交通便利，有停车位，业主急售，看上议价,星汇峰,太平镇,3室1厅 ,100.03, 南 , 毛坯 ,6,2010, 平房,9, 一年前发布,1180000.0,11797,VR看装修 房本满五年 随时看房 
大城云山 地铁口 交通便利 环境优美 视野开阔 养生,大城云山,太平镇,3室2厅 ,113.32, 南 , 毛坯 ,17,2016, 塔楼,2, 一年前发布,1470000.0,12973,近地铁 VR看装修 房本满五年 随时看房 
逸泉山庄 地铁口三房 南向 户型方正 满五唯一,逸泉山庄,赤草,3室2厅 ,110.3, 南 , 精装 ,15,2008, 塔楼,33, 一年前发布,1630000.0,14778,近地铁 VR看装修 房本满五年 随时看房 
证满五年，格局好！精装修买入即可拎包入住,侨宏花园,温泉镇,3室2厅 ,82.61, 南 , 精装 ,7,2008, 塔楼,11, 一年前发布,830000.0,10048,VR房源 房本满五年 随时看房 
从化怡景楼  实用两房  视野开阔 钥匙在手,从化怡景楼,太平镇,2室1厅 ,75.86, 东南 , 毛坯 ,8,2008, 塔楼,4, 2个月以前发布,770000.0,10151,VR看装修 房本满五年 随时看房 
比邻流溪河 环境优美 空气清新 设计时尚美观大方,雅居乐小院流溪,赤草,3室2厅 ,129.8, 东南 , 毛坯 ,17,2013, 塔楼,0, 7个月以前发布,1800000.0,13868,VR看装修 房本满五年 随时看房 
性从比较高的一套房子，拎包就可入住。,方圆明月山溪,温泉镇,2室2厅 ,84.48, 南 北 , 精装 ,18,2014, 塔楼,21, 一年前发布,1000000.0,11838,VR看装修 房本满两年 随时看房 
大城云山地铁口物业 毛坯自由装修 电梯洋房 精致花园,大城云山,太平镇,3室2厅 ,125.04, 东北 , 毛坯 ,17,2016, 塔楼,10, 一年前发布,1520000.0,12157,近地铁 VR看装修 房本满两年 随时看房 
大城云山 二房 户型实用  采光充足,大城云山,太平镇,2室1厅 ,94.7, 南 , 毛坯 ,10,2016, 塔楼,4, 一年前发布,1200000.0,12672,近地铁 VR看装修 房本满两年 随时看房 
满5唯一，视野开阔，配套设施齐全，交通便利,上城湾畔B区,江浦街,4室2厅 ,149.25, 南 , 毛坯 ,17,2009, 塔楼,3, 6个月以前发布,2800000.0,18761,VR看装修 房本满五年 随时看房 
大城云山 地铁700米 南向大3房复式,大城云山,太平镇,4室2厅 ,114.25, 东南 , 毛坯 ,11,2016, 塔楼,4, 7个月以前发布,1680000.0,14705,近地铁 VR看装修 房本满五年 随时看房 
华标荔苑地铁口小区精装2房温馨两房采光,华标荔苑,太平镇,2室2厅 ,87.54, 东南 , 精装 ,6,2000, 塔楼,34, 一年前发布,1300000.0,14851,近地铁 VR房源 房本满五年 随时看房 
荔林春晓电梯精装小三房 户型方正 采光好 红本在手,荔林春晓,太平镇,3室2厅 ,92.48, 西北 , 精装 ,18,2016, 塔楼,61, 一年前发布,1480000.0,16004,近地铁 VR看装修 房本满两年 随时看房 
大城云山 电梯洋房 近地铁 证过2年 楼层好,大城云山,太平镇,2室2厅 ,82.91, 南 , 毛坯 ,11,2016, 塔楼,30, 一年前发布,1050000.0,12665,近地铁 VR看装修 房本满五年 随时看房 
地铁口物业 电梯罕见户型 毛坯可按自己喜好装修,大城云山,太平镇,2室2厅 ,89.34, 东南 , 其他 ,17,2016, 塔楼,11, 一年前发布,1260000.0,14104,近地铁 VR看装修 房本满两年 随时看房 
巴厘天地，望流溪河，采光好，视野宽,人盛巴厘天地,神岗镇,3室2厅 ,108.99, 东南 , 毛坯 ,17,2012, 塔楼,1, 6个月以前发布,1495000.0,13717,VR看装修 房本满两年 随时看房 
人盛巴厘天地 成熟配套 小区管理 交通便捷,人盛巴厘天地,神岗镇,3室2厅 ,130.21, 东南 , 毛坯 ,17,2013, 塔楼,6, 11个月以前发布,1448000.0,11121,VR看装修 房本满两年 随时看房 
地铁14号线  华标荔苑  两房毛坯 红本在手看中即签,华标荔苑,太平镇,2室2厅 ,85.2, 东南 , 毛坯 ,6,2012, 塔楼,4, 一年前发布,1200000.0,14085,近地铁 VR看装修 房本满两年 随时看房 
碧 桂 园 物 业、业 主 诚 心 放 盘！,君源御湖城,江浦街,3室2厅 ,104.7, 南 , 毛坯 ,16,2011, 塔楼,2, 8个月以前发布,1050000.0,10029,VR看装修 房本满五年 随时看房 
巴厘天地，实用三房、双阳台设计、户型方正。,人盛巴厘天地,神岗镇,3室1厅 ,111.32, 东南 , 毛坯 ,17,2012, 塔楼,2, 3个月以前发布,1120000.0,10062,VR看装修 房本满五年 随时看房 
钱隆天誉 房产证过二  小面积户型方正,云星钱隆天誉,太平镇,2室2厅 ,69.57, 西 , 毛坯 ,25,2016, 塔楼,2, 一年前发布,979000.0,14073,VR看装修 房本满两年 随时看房 
小区交通便利，环境舒适，配套完善,人盛巴厘天地,神岗镇,2室2厅 ,84.57, 东南 , 毛坯 ,17,2012, 塔楼,1, 4个月以前发布,1000000.0,11825,VR看装修 房本满五年 随时看房 
此房南北对流，大阳台，空气清新，南向视野开阔,逸泉映翠,江浦街,3室1厅 ,94.98, 南 , 精装 ,24,2014, 塔楼,12, 4个月以前发布,1200000.0,12635,VR看装修 房本满两年 随时看房 
华标荔苑  地铁口小区  格局方正  采光充足,华标荔苑,太平镇,2室1厅 ,89.34, 东南 , 毛坯 ,6,2013, 塔楼,9, 一年前发布,1260000.0,14104,近地铁 VR看装修 房本满五年 随时看房 
少有南向二房户型放售，随时看房！,逸泉映翠,江浦街,2室1厅 ,85.23, 南 , 毛坯 ,23,2014, 塔楼,4, 4个月以前发布,1050000.0,12320,VR看装修 房本满两年 随时看房 
流溪河畔   中高楼层  环境舒服,宏诚海峰花园,江浦街,2室2厅 ,79.04, 东南 , 毛坯 ,15,2015, 塔楼,5, 7个月以前发布,1090000.0,13791,VR房源 房本满两年 随时看房 
大4房2厅联排户型， 南北对流。,东方夏湾拿,太平镇,4室2厅 ,208.0, 南 , 毛坯 ,2,2009, 板塔结合,5, 一年前发布,3000000.0,14424,VR房源 房本满两年 随时看房 
高层实用2房，格局方正，采光好，近地铁，视野好,华标荔苑,太平镇,2室2厅 ,91.63, 东南 , 毛坯 ,12,2013, 塔楼,3, 一年前发布,1350000.0,14734,近地铁 VR看装修 房本满五年 随时看房 
山水御苑 中层南向三房 格局实用 景观靓,珠光山水御苑,江浦街,3室2厅 ,102.0, 东南 , 毛坯 ,30,2016, 塔楼,4, 7个月以前发布,1030000.0,10099,VR看装修 房本满两年 随时看房 
富力泉天下 负离子空气清新 优质森林 望山景 视野开阔,富力泉天下,温泉镇,2室1厅 ,83.39, 北 , 精装 ,18,2014, 塔楼,26, 一年前发布,800000.0,9594,VR看装修 房本满两年 随时看房 
地铁口别・墅 三面采光 大花园 带车库,逸泉山庄,赤草,5室2厅 ,205.0, 南 , 毛坯 ,3,2008, 暂无数据,1, 1个月以前发布,4180000.0,20391,VR房源 房本满五年 随时看房 
紫泉翠荔嘉园楼梯复式 可造空间大 中间位,紫泉翠荔嘉园,太平镇,3室1厅 ,88.98, 东南 , 毛坯 ,6,2007, 塔楼,10, 10个月以前发布,1090000.0,12250,VR看装修 房本满两年 随时看房 
格局方正  景观好  南北对流,方圆明月山溪,温泉镇,2室2厅 ,84.48, 东南 南 , 精装 ,18,2014, 塔楼,18, 4个月以前发布,845000.0,10000,VR看装修 房本满五年 随时看房 
太平站  回归路小区两房 毛坯采光好  总价低,回归路小区,太平镇,2室2厅 ,85.96, 东 , 毛坯 ,8,1992, 暂无数据,14, 一年前发布,990000.0,11517,VR看装修 房本满五年 随时看房 
巴厘天地 格局方正 南北对流 离地铁口1.5公路随时可看,人盛巴厘天地,神岗镇,2室1厅 ,83.9, 南 , 毛坯 ,10,2019, 塔楼,3, 一年前发布,968000.0,11538,VR看装修 房本满五年 随时看房 
大城云山 电梯洋房 地铁口物业两房,大城云山,太平镇,2室1厅 ,61.4, 东北 , 简装 ,9,2016, 塔楼,40, 一年前发布,960000.0,15636,近地铁 VR看装修 房本满两年 随时看房 
华标荔苑双阳台户型，南北通透，采光优越,华标荔苑,太平镇,2室2厅 ,85.2, 南 北 , 毛坯 ,6,2013, 塔楼,37, 一年前发布,1080000.0,12677,近地铁 VR看装修 房本满五年 随时看房 
巴厘天地实用三房设计入户大花园,人盛巴厘天地,神岗镇,3室1厅 ,103.54, 东南 , 毛坯 ,17,2012, 塔楼,17, 9个月以前发布,1020000.0,9852,VR房源 房本满两年 随时看房 
回归路小区  单价低  户型好 税费低,回归路小区,太平镇,2室1厅 ,94.32, 南 , 简装 ,8,1998, 塔楼,10, 2个月以前发布,680000.0,7210,VR看装修 房本满五年 随时看房 
高层实用2房，格局方正，采光好，近地铁，视野好,华标荔苑,太平镇,2室2厅 ,91.63, 东南 , 毛坯 ,12,2013, 塔楼,3, 一年前发布,1350000.0,14734,近地铁 VR看装修 房本满五年 随时看房 
大4房2厅联排户型， 南北对流。,东方夏湾拿,太平镇,4室2厅 ,208.0, 南 , 毛坯 ,2,2009, 板塔结合,5, 一年前发布,3000000.0,14424,VR房源 房本满两年 随时看房 
巴厘天地 温馨两房双阳台 南北对流 生活便利一线望江,人盛巴厘天地,神岗镇,2室1厅 ,84.91, 南 , 简装 ,17,2012, 塔楼,19, 一年前发布,1080000.0,12720,VR看装修 房本满五年 随时看房 
业主急售，户型方正 采光充足 格局通透 保养新,广东动漫城,神岗镇,3室1厅 ,54.0, 西 , 精装 ,11,2013, 塔楼,3, 2个月以前发布,598000.0,11075,房本满五年 随时看房 
配套完善， 交通便利 ，户型方正实用， 楼距间宽,爱尚流溪,江浦街,3室2厅 ,94.18, 西南 , 毛坯 ,23,2016, 塔楼,10, 8个月以前发布,1000000.0,10618,VR看装修 房本满两年 随时看房 
逸泉映翠 3室2厅 南 北,逸泉映翠,江浦街,3室2厅 ,96.69, 南 北 , 其他 ,24,2014, 塔楼,1,18,1205000.0,12463,VR看装修 房本满两年 
联排中间位别墅  户型方正 采光好 通风好 简装修,逸泉山庄,赤草,4室2厅 ,177.98, 东北 , 简装 ,3, 暂无数据 , 联排别墅 ,1,29,3800000.0,21351,VR房源 房本满五年 
此房满两年 ，南北对流，视野开阔，生活配套齐全,紫泉翠荔嘉园,太平镇,5室1厅 ,105.33, 东南 , 简装 ,6,2008, 板楼,1, 3个月以前发布,1600000.0,15191,VR房源 房本满五年 
珠江壹城别墅空间大花园大...,珠江壹城,神岗镇,6室3厅 ,354.31, 东南 , 其他 ,2, 板塔结合 , 独栋别墅 ,3, 9个月以前发布,4900000.0,13830,VR房源 房本满两年 
利泰花林湖畔3房满唯 南北对流,利泰花林湖畔,鳌头镇,3室1厅 ,98.44, 南 北 , 其他 ,9,2012, 塔楼,1, 1个月以前发布,1040000.0,10565,VR看装修 房本满五年 
洋房中间楼层，视野开阔，采光好，户型方正,雅居乐小院流溪,赤草,4室2厅 ,140.0, 南 , 精装 ,17,2013, 塔楼,1, 3个月以前发布,1950000.0,13929,VR看装修 房本满两年 
富力泉天下大独栋别墅，流溪河边，景观优美,富力泉天下,温泉镇,5室1厅 ,406.6, 南 , 其他 ,3, 塔楼 , 双拼别墅 ,4, 8个月以前发布,4580000.0,11265,VR房源 房本满五年 
雅居乐小院流溪诚心出售， 279.08m05 450 万,雅居乐小院流溪,赤草,5室2厅 ,279.08, 东南 , 其他 ,3, 塔楼 , 联排别墅 ,19, 10个月以前发布,3200000.0,11467,VR房源 房本满两年 
上城湾畔B区 4室1厅 南,上城湾畔B区,江浦街,4室1厅 ,158.28, 南 , 其他 ,17,2009, 塔楼,0, 1个月以前发布,3200000.0,20218,近地铁 VR房源 房本满五年 
珠江壹城 大型成熟小区 交通便捷,珠江壹城,神岗镇,6室2厅 ,324.77, 南 北 , 其他 ,2, 板塔结合 , 独栋别墅 ,27, 5个月以前发布,4130000.0,12717,VR房源 房本满两年 
月湾 3室2厅 东南,月湾,新城片区,3室2厅 ,161.72, 东南 , 其他 ,22,2005, 塔楼,2, 一年前发布,2600000.0,16078,VR看装修 房本满五年 
富力泉天下大独栋别墅，流溪河边，景观优美,富力泉天下,温泉镇,5室1厅 ,406.6, 南 , 其他 ,3, 塔楼 , 双拼别墅 ,4, 8个月以前发布,4580000.0,11265,VR房源 房本满五年 
此房满五非唯一住房 双拼大别墅，环境舒适  交通便利,逸泉山庄,赤草,5室2厅 ,279.85, 南 北 , 毛坯 ,3, 暂无数据 , 独栋别墅 ,0, 1个月以前发布,4300000.0,15366,VR房源 房本满五年 
双拼别墅，户型方正，采光好，大花园,雅居乐小院流溪,赤草,6室2厅 ,752.96, 西南 , 毛坯 ,3, 塔楼 , 双拼别墅 ,0,30,15000000.0,19922,VR房源 房本满两年 
神岗巴厘天地3房 户型方正 业主诚心出售 价格可谈,人盛巴厘天地,神岗镇,3室2厅 ,101.0, 南 , 其他 ,17,2012, 塔楼,0, 一年前发布,1430000.0,14159,VR看装修 房本满五年 随时看房 
巴厘天地3房2厅精装修，中高层，视野开阔，格局方正,人盛巴厘天地,神岗镇,3室2厅 ,99.11, 西北 , 其他 ,17,2013, 塔楼,4, 一年前发布,1360000.0,13723,VR看装修 房本满两年 随时看房 
富力泉天下大三房，景观无遮挡，适宜养生,富力泉天下,温泉镇,3室2厅 ,126.68, 南 , 其他 ,23,2014, 塔楼,4, 6个月以前发布,1500000.0,11841,VR看装修 房本满两年 随时看房 
地铁口700米大城云山大三房精装修业主诚意出售,大城云山,太平镇,3室2厅 ,114.25, 南 , 其他 ,11,2016, 塔楼,12, 9个月以前发布,1700000.0,14880,近地铁 VR看装修 房本满五年 随时看房 
人盛巴厘天地 大三房 方正实用,人盛巴厘天地,神岗镇,3室1厅 ,101.56, 西北 , 其他 ,17,2013, 塔楼,0, 6个月以前发布,1160000.0,11422,VR看装修 房本满五年 随时看房 
环境优美空气清新，格局方正，南北对流通风好。,人盛巴厘天地,神岗镇,3室2厅 ,124.91, 东南 , 其他 ,17,2013, 塔楼,0, 一年前发布,1495000.0,11969,VR看装修 房本满五年 随时看房 
山水御苑  高层 南向 实用3房,珠光山水御苑,江浦街,3室2厅 ,103.0, 东北 , 其他 ,32,2014, 塔楼,0, 3个月以前发布,1030000.0,10000,VR看装修 房本满两年 随时看房 
抢手房型刚需优选，南北对流冬暖夏不晒，全景大阳台,紫泉翠荔嘉园,太平镇,3室2厅 ,90.06, 西南 , 简装 ,6,2008, 板楼,6, 4个月以前发布,1220000.0,13547,VR看装修 房本满五年 随时看房 
温泉富力边位别墅 带大花园   负离子空气 依山而建,富力泉天下,温泉镇,4室2厅 ,225.03, 北 , 其他 ,3, 塔楼 , 联排别墅 ,61, 8个月以前发布,2600000.0,11555,VR房源 房本满五年 随时看房 
环境优美，空气清新，一线江景，,人盛巴厘天地,神岗镇,3室2厅 ,112.41, 东南 , 其他 ,17,2013, 塔楼,0, 8个月以前发布,1375000.0,12233,VR看装修 房本满两年 随时看房 
山水御苑高层舒适三房景观好视野开阔,珠光山水御苑,江浦街,3室2厅 ,141.23, 南 , 精装 ,32,2014, 塔楼,1, 5个月以前发布,1550000.0,10976,VR看装修 房本满两年 随时看房 
人盛巴厘天地 小区配套 交通便捷,人盛巴厘天地,神岗镇,3室2厅 ,104.54, 东南 , 毛坯 ,17,2012, 塔楼,8, 2个月以前发布,1045000.0,9997,VR看装修 房本满五年 随时看房 
巴厘天地，绿化较高，适合居住。,人盛巴厘天地,神岗镇,3室2厅 ,128.98, 南 , 其他 ,17,2013, 塔楼,0, 7个月以前发布,1640000.0,12716,VR看装修 房本满五年 随时看房 
紫泉翠荔嘉高层园西南向的大户型房子,紫泉翠荔嘉园,太平镇,4室2厅 ,138.0, 西南 , 其他 ,18,2009, 塔楼,1, 3个月以前发布,1800000.0,13044,VR看装修 房本满五年 随时看房 
山水御苑中楼层舒适三房景观好视野开阔,珠光山水御苑,江浦街,3室2厅 ,103.07, 南 , 简装 ,32,2014, 塔楼,1, 2个月以前发布,1230000.0,11934,VR看装修 房本满两年 随时看房 
温泉旅游区，三面环山，南临流溪河,方圆明月山溪,温泉镇,1室1厅 ,58.0, 南 北 , 其他 ,18,2014, 塔楼,8, 2个月以前发布,670000.0,11552,VR看装修 房本满五年 随时看房 
侨宏花园 2室2厅 南,侨宏花园,温泉镇,2室2厅 ,119.0, 南 , 其他 ,7,2009, 塔楼,0, 1个月以前发布,990000.0,8320,VR房源 房本满五年 随时看房 
空气清新 负离子空气  层望山景视野开阔配套完善,富力泉天下,温泉镇,2室1厅 ,81.44, 北 , 其他 ,18,2014, 塔楼,1, 3个月以前发布,950000.0,11666,VR看装修 房本满五年 随时看房 
此房满二，户型朝南，视野宽阔，采光好,大城云山,太平镇,3室2厅 ,87.83, 南 , 毛坯 ,17,2016, 塔楼,4, 4个月以前发布,1280000.0,14574,近地铁 VR看装修 房本满两年 随时看房 
舒适三房，望江户型，门前大花园，适合居住。,人盛巴厘天地,神岗镇,3室2厅 ,126.17, 东南 , 其他 ,17,2012, 塔楼,5, 一年前发布,1270000.0,10066,VR看装修 房本满五年 随时看房 
巴厘天地，大三房，稀小带阳台，带装修。,人盛巴厘天地,神岗镇,3室2厅 ,102.0, 东南 , 其他 ,10,2008, 塔楼,0, 6个月以前发布,1396000.0,13687,VR看装修 房本满两年 随时看房 
人盛巴厘天地 3房2厅 看流溪河,人盛巴厘天地,神岗镇,3室2厅 ,107.96, 东南 , 精装 ,17,2012, 塔楼,1, 一年前发布,1300000.0,12042,VR看装修 房本满两年 随时看房 
富力泉天下联排别墅，价格便宜实惠，自带车库,富力泉天下,温泉镇,3室2厅 ,191.07, 东 , 毛坯 ,3, 塔楼 , 联排别墅 ,30, 3个月以前发布,2020000.0,10573,VR房源 房本满两年 随时看房 
环境优美空气清新，格局方正，南北对流通风好。,人盛巴厘天地,神岗镇,3室2厅 ,124.91, 东南 , 其他 ,17,2013, 塔楼,0, 一年前发布,1495000.0,11969,VR看装修 房本满五年 随时看房 
富力泉天下 4室2厅 南,富力泉天下,温泉镇,4室2厅 ,148.19, 南 , 其他 ,18,2014, 塔楼,3, 3个月以前发布,1500000.0,10123,VR看装修 房本满五年 随时看房 
高层户型，绿化较多，适合居住。,人盛巴厘天地,神岗镇,3室2厅 ,132.43, 东南 , 其他 ,17,2013, 塔楼,2, 10个月以前发布,1577000.0,11909,VR看装修 房本满两年 随时看房 
绿化好环境优美，交通便利，配套成熟,人盛巴厘天地,神岗镇,3室2厅 ,107.96, 东南 , 其他 ,17,2012, 塔楼,0, 一年前发布,1400000.0,12968,VR房源 房本满五年 随时看房 
单价低，总价不高，南向户型，业主诚信出售,人盛巴厘天地,神岗镇,3室2厅 ,105.48, 南 , 其他 ,17,2011, 塔楼,16, 一年前发布,1060000.0,10050,VR看装修 房本满五年 随时看房 
商圈配套齐全小区 带简单装修 三房带主卫 交通便利,上城湾畔东区,江浦街,3室2厅 ,114.65, 北 , 其他 ,15,2009, 塔楼,2, 3个月以前发布,2270000.0,19800,近地铁 VR看装修 房本满五年 随时看房 
人盛巴厘天地 3室2厅 南,人盛巴厘天地,神岗镇,3室2厅 ,118.21, 南 , 其他 ,17,2012, 塔楼,4, 7个月以前发布,1400000.0,11844,VR看装修 房本满两年 随时看房 
巴厘天地，绿化较高，适合居住。,人盛巴厘天地,神岗镇,3室2厅 ,112.0, 东南 , 其他 ,17,2013, 塔楼,0, 9个月以前发布,1450000.0,12947,VR看装修 房本满五年 随时看房 
南向电梯高层装修两房，阳台观景荔枝林,大城云山,太平镇,2室2厅 ,83.19, 东南 , 其他 ,11,2016, 塔楼,21, 一年前发布,1180000.0,14185,近地铁 VR看装修 房本满五年 随时看房 
小区绿化好，交通便利，生活配套成熟,人盛巴厘天地,神岗镇,3室2厅 ,108.0, 东 , 其他 ,17,2012, 塔楼,2, 1个月以前发布,1350000.0,12500,VR看装修 房本满两年 随时看房 
环境优美，空气清新，靠江傍水。,人盛巴厘天地,神岗镇,3室2厅 ,107.98, 东南 , 其他 ,17,2012, 塔楼,0, 8个月以前发布,1295000.0,11993,VR看装修 房本满五年 随时看房 
绿化环境好，背江望山景，给您一个舒适宁静的住房生活,人盛巴厘天地,神岗镇,3室2厅 ,108.99, 西南 南 , 毛坯 ,17,2012, 塔楼,0, 8个月以前发布,1246000.0,11433,VR看装修 房本满两年 随时看房 
